pulsep,pulsen,thrust_N,torque_Nm
1460,1560,5.1294,-0.003416
1460,1580,4.8376,-0.009388
1460,1600,5.0395,-0.012586
1460,1620,5.065,-0.017654
1460,1640,5.2771,-0.020988
1460,1660,5.2455,-0.027362
1460,1680,5.436,-0.034178
1460,1700,5.6921,-0.038592
1460,1720,6.6998,-0.044448
1460,1740,6.6272,-0.047832
1460,1760,7.5593,-0.054509
1460,1780,6.9351,-0.056433
1460,1800,6.5552,-0.066755
1480,1060,2.4655,0.04807
1480,1080,2.1956,0.047523
1480,1100,2.2767,0.046215
1480,1120,2.1745,0.044607
1480,1140,2.3177,0.042804
1480,1160,2.1607,0.040911
1480,1180,2.4053,0.037175
1480,1200,2.3486,0.036623
1480,1220,2.4974,0.034047
1480,1240,2.5383,0.031023
1480,1260,2.631,0.027836
1480,1280,2.7782,0.023235
1480,1300,2.7401,0.020138
1480,1320,2.8624,0.018284
1480,1340,2.8927,0.013067
1480,1360,3.0985,0.010976
1480,1380,3.1879,0.006414
1480,1400,3.2538,0.003282
1480,1420,3.3647,-0.000653
1480,1440,3.3591,-0.004139
1480,1460,3.5182,-0.007831
1480,1480,4.4602,0.015084
1480,1500,4.3781,0.012178
1480,1520,4.4912,0.0076
1480,1540,4.3778,0.002492
1480,1560,5.2775,-0.000307
1480,1580,4.8927,-0.005028
1480,1600,5.1614,-0.008665
1480,1620,5.1368,-0.013389
1480,1640,5.4089,-0.020603
1480,1660,5.4137,-0.022326
1480,1680,5.5898,-0.031402
1480,1700,5.8202,-0.03448
1480,1720,6.8836,-0.039729
